out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment
abs1000aer,mon,1,Ambient Aerosol Absorption Optical Thickness at 1000 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs1000aer,day,1,Ambient Aerosol Absorption Optical Thickness at 1000 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs1000aer,3hr,1,Ambient Aerosol Absorption Optical Thickness at 1000 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
abs350aer,mon,1,Ambient Aerosol Absorption Optical Thickness at 350 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs350aer,day,1,Ambient Aerosol Absorption Optical Thickness at 350 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs350aer,3hr,1,Ambient Aerosol Absorption Optical Thickness at 350 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
abs440aer,mon,1,Ambient Aerosol Absorption Optical Thickness at 440 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs440aer,day,1,Ambient Aerosol Absorption Optical Thickness at 440 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs440aer,3hr,1,Ambient Aerosol Absorption Optical Thickness at 440 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
abs870aer,mon,1,Ambient Aerosol Absorption Optical Thickness at 870 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs870aer,day,1,Ambient Aerosol Absorption Optical Thickness at 870 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
abs870aer,3hr,1,Ambient Aerosol Absorption Optical Thickness at 870 nm,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
asy1000aer,mon,1,Aerosol Asymmetry Parameter at 1000 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy1000aer,day,1,Aerosol Asymmetry Parameter at 1000 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy1000aer,3hr,1,Aerosol Asymmetry Parameter at 1000 nm,asymmetry_factor_of_ambient_aerosol_particles,area: mean time: point,TIER1,
asy350aer,mon,1,Aerosol Asymmetry Parameter at 350 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy350aer,day,1,Aerosol Asymmetry Parameter at 350 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy350aer,3hr,1,Aerosol Asymmetry Parameter at 350 nm,asymmetry_factor_of_ambient_aerosol_particles,area: mean time: point,TIER1,
asy440aer,mon,1,Aerosol Asymmetry Parameter at 440 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy440aer,day,1,Aerosol Asymmetry Parameter at 440 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy440aer,3hr,1,Aerosol Asymmetry Parameter at 440 nm,asymmetry_factor_of_ambient_aerosol_particles,area: mean time: point,TIER1,
asy870aer,mon,1,Aerosol Asymmetry Parameter at 870 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy870aer,day,1,Aerosol Asymmetry Parameter at 870 nm,asymmetry_factor_of_ambient_aerosol_particles,area: time: mean,TIER1,
asy870aer,3hr,1,Aerosol Asymmetry Parameter at 870 nm,asymmetry_factor_of_ambient_aerosol_particles,area: mean time: point,TIER1,
drybc,mon,kg m-2 s-1,Dry Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
drybc,day,kg m-2 s-1,Dry Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
drybc,1hr,kg m-2 s-1,Dry Deposition Rate of Black Carbon,minus_tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
drydust,mon,kg m-2 s-1,Dry Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
drydust,day,kg m-2 s-1,Dry Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
drydust,1hr,kg m-2 s-1,Dry Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
drynh4,mon,kg m-2 s-1,Dry Deposition Rate of Ammonium,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
drynh4,day,kg m-2 s-1,Dry Deposition Rate of Ammonium,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
drynh4,1hr,kg m-2 s-1,Dry Deposition Rate of Ammonium,minus_tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
dryno3,mon,kg m-2 s-1,Dry Deposition Rate of Nitrate,tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
dryno3,day,kg m-2 s-1,Dry Deposition Rate of Nitrate,tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
dryno3,1hr,kg m-2 s-1,Dry Deposition Rate of Nitrate,tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
dryoa,mon,kg m-2 s-1,Dry Deposition Rate of Organic Matter,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
dryoa,day,kg m-2 s-1,Dry Deposition Rate of Organic Matter,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
dryoa,1hr,kg m-2 s-1,Dry Deposition Rate of Organic Matter,minus_tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
dryso4,mon,kg m-2 s-1,Dry Deposition Rate of Sulfate,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
dryso4,day,kg m-2 s-1,Dry Deposition Rate of Sulfate,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
dryso4,1hr,kg m-2 s-1,Dry Deposition Rate of Sulfate,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
dryss,mon,kg m-2 s-1,Dry Deposition Rate of Sea-Salt,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
dryss,day,kg m-2 s-1,Dry Deposition Rate of Sea-Salt,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
dryss,1hr,kg m-2 s-1,Dry Deposition Rate of Sea-Salt,minus_tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_dry_deposition,area: time: mean,TIER1,
emibc,mon,kg m-2 s-1,Total Emission Rate of Black Carbon,tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
emibc,day,kg m-2 s-1,Total Emission Rate of Black Carbon,tendency_of_atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
emidust,mon,kg m-2 s-1,Total Emission Rate of Dust,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
emidust,day,kg m-2 s-1,Total Emission Rate of Dust,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
eminh3,mon,kg m-2 s-1,Total Emission Rate of Ammonia,tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission,area: mean time: minimum,TIER1,daily output only if daily variations in emissions
eminh3,day,kg m-2 s-1,Total Emission Rate of Ammonia,tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission,area: mean time: minimum,TIER1,daily output only if daily variations in emissions
eminox,mon,kg m-2 s-1,Total Emission Rate of NOx,tendency_of_atmosphere_mass_content_of_nox_expressed_as_nitrogen_due_to_emission,area: mean time: minimum,TIER1,daily output only if daily variations in emissions
eminox,day,kg m-2 s-1,Total Emission Rate of NOx,tendency_of_atmosphere_mass_content_of_nox_expressed_as_nitrogen_due_to_emission,area: mean time: minimum,TIER1,daily output only if daily variations in emissions
emioa,mon,kg m-2 s-1,Total Emission Rate of Organic Matter,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
emioa,day,kg m-2 s-1,Total Emission Rate of Organic Matter,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
emiso2,mon,kg m-2 s-1,Total Emission Rate of Sulfure Dioxide,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
emiso2,day,kg m-2 s-1,Total Emission Rate of Sulfure Dioxide,tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
emiso4,mon,kg m-2 s-1,Total Emission Rate of Sulfate,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
emiso4,day,kg m-2 s-1,Total Emission Rate of Sulfate,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
emiss,mon,kg m-2 s-1,Total Emission Rate of Sea-Salt,tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
emiss,day,kg m-2 s-1,Total Emission Rate of Sea-Salt,tendency_of_atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
emivoc,mon,kg m-2 s-1,Total Emission Rate of NMVOC,tendency_of_atmosphere_mass_content_of_nmvoc_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
emivoc,day,kg m-2 s-1,Total Emission Rate of NMVOC,tendency_of_atmosphere_mass_content_of_nmvoc_due_to_emission,area: time: mean,TIER1,daily output only if daily variations in emissions
od1000aer,mon,1,Ambient Aerosol Optical Thickness at 1000nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
od1000aer,day,1,Ambient Aerosol Optical Thickness at 1000nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
od1000aer,3hr,1,Ambient Aerosol Optical Thickness at 1000nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
od350aer,mon,1,Ambient Aerosol Optical Thickness at 350nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
od350aer,day,1,Ambient Aerosol Optical Thickness at 350nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
od350aer,3hr,1,Ambient Aerosol Optical Thickness at 350nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
od440aer,mon,1,Ambient Aerosol Optical Thickness at 440nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
od440aer,day,1,Ambient Aerosol Optical Thickness at 440nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
od440aer,3hr,1,Ambient Aerosol Optical Thickness at 440nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
od550lt1aer,mon,1,Ambient Fine Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol_particles,area: time: mean,TIER1,
od550lt1aer,day,1,Ambient Fine Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol_particles,area: time: mean,TIER1,
od550lt1aer,1hr,1,Ambient Fine Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol_particles,area: mean time: point,TIER1,
od550soa,mon,1,Secondary Organic Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,area: time: mean,TIER1,
od550soa,day,1,Secondary Organic Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,area: time: mean,TIER1,
od550soa,1hr,1,Secondary Organic Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,area: mean time: point,TIER1,
od870aer,mon,1,Ambient Aerosol Optical Thickness at 870nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
od870aer,day,1,Ambient Aerosol Optical Thickness at 870nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: time: mean,TIER1,
od870aer,3hr,1,Ambient Aerosol Optical Thickness at 870nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,area: mean time: point,TIER1,
rsutaf,mon,W m-2,TOA Outgoing Aerosol-Free Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_no_aerosol,area: time: mean,TIER1,
rsutaf,day,W m-2,TOA Outgoing Aerosol-Free Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_no_aerosol,area: time: mean,TIER1,
rsutaf,6hr,W m-2,TOA Outgoing Aerosol-Free Shortwave Radiation,toa_outgoing_shortwave_flux_assuming_no_aerosol,area: time: mean,TIER1,
rsutcsaf,mon,W m-2,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation",toa_outgoing_shortwave_flux_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rsutcsaf,day,W m-2,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation",toa_outgoing_shortwave_flux_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rsutcsaf,6hr,W m-2,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation",toa_outgoing_shortwave_flux_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rlutaf,mon,W m-2,TOA Outgoing Aerosol-Free Longwave Radiation,toa_outgoing_longwave_flux,area: time: mean,TIER1,
rlutaf,day,W m-2,TOA Outgoing Aerosol-Free Longwave Radiation,toa_outgoing_longwave_flux,area: time: mean,TIER1,
rlutaf,6hr,W m-2,TOA Outgoing Aerosol-Free Longwave Radiation,toa_outgoing_longwave_flux,area: time: mean,TIER1,
rlutcsaf,mon,W m-2,"TOA Outgoing Clear-Sky, Aerosol-Free Longwave Radiation",toa_outgoing_longwave_flux_assuming_clear_sky,area: time: mean,TIER1,
rlutcsaf,day,W m-2,"TOA Outgoing Clear-Sky, Aerosol-Free Longwave Radiation",toa_outgoing_longwave_flux_assuming_clear_sky,area: time: mean,TIER1,
rlutcsaf,6hr,W m-2,"TOA Outgoing Clear-Sky, Aerosol-Free Longwave Radiation",toa_outgoing_longwave_flux_assuming_clear_sky,area: time: mean,TIER1,
rsdsaf,mon,W m-2,Surface Downwelling Aerosol-Free Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,TIER1,
rsdsaf,day,W m-2,Surface Downwelling Aerosol-Free Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,TIER1,
rsdsaf,6hr,W m-2,Surface Downwelling Aerosol-Free Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,area: time: mean,TIER1,
rsdscsaf,mon,W m-2,"Surface Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation",surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rsdscsaf,day,W m-2,"Surface Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation",surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rsdscsaf,6hr,W m-2,"Surface Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation",surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rsusaf,mon,W m-2,Surface Upwelling Aerosol-Free Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,area: time: mean,TIER1,
rsusaf,day,W m-2,Surface Upwelling Aerosol-Free Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,area: time: mean,TIER1,
rsusaf,6hr,W m-2,Surface Upwelling Aerosol-Free Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,area: time: mean,TIER1,
rsuscsaf,mon,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation",surface_upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rsuscsaf,day,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation",surface_upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rsuscsaf,6hr,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation",surface_upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rldsaf,mon,W m-2,Surface Downwelling Aerosol-Free Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,TIER1,
rldsaf,day,W m-2,Surface Downwelling Aerosol-Free Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,TIER1,
rldsaf,6hr,W m-2,Surface Downwelling Aerosol-Free Longwave Radiation,surface_downwelling_longwave_flux_in_air,area: time: mean,TIER1,
rldscsaf,mon,W m-2,"Surface Downwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_downwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER1,
rldscsaf,day,W m-2,"Surface Downwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_downwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER1,
rldscsaf,6hr,W m-2,"Surface Downwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_downwelling_longwave_flux_in_air_assuming_clear_sky,area: time: mean,TIER1,
rlusaf,mon,W m-2,Surface Upwelling Aerosol-Free Longwave Radiation,surface_upwelling_longwave_flux_in_air,area: time: mean,TIER1,
rlusaf,day,W m-2,Surface Upwelling Aerosol-Free Longwave Radiation,surface_upwelling_longwave_flux_in_air,area: time: mean,TIER1,
rlusaf,6hr,W m-2,Surface Upwelling Aerosol-Free Longwave Radiation,surface_upwelling_longwave_flux_in_air,area: time: mean,TIER1,
rluscsaf,mon,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_upwelling_longwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rluscsaf,day,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_upwelling_longwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rluscsaf,6hr,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_upwelling_longwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
sconcbc,mon,kg m-3,Surface Concentration of Black Carbon,mass_concentration_of_elemental_carbon_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcbc,day,kg m-3,Surface Concentration of Black Carbon,mass_concentration_of_elemental_carbon_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcbc,1hr,kg m-3,Surface Concentration of Black Carbon,mass_concentration_of_elemental_carbon_dry_aerosol_particles_in_air,area: mean time: point,TIER1,
sconcdust,mon,kg m-3,Surface Concentration of Dust,mass_concentration_of_dust_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcdust,day,kg m-3,Surface Concentration of Dust,mass_concentration_of_dust_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcdust,1hr,kg m-3,Surface Concentration of Dust,mass_concentration_of_dust_dry_aerosol_particles_in_air,area: mean time: point,TIER1,
sconcnh4,mon,kg m-3,Surface Concentration of Ammonium,mass_concentration_of_ammonium_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcnh4,day,kg m-3,Surface Concentration of Ammonium,mass_concentration_of_ammonium_dry_aerosol_particles_in_air,area: time: mean,TIER1,
